time,CapDev_time,DA_time,DK1 2025 (2014 WY),DK1 2035 (2014 WY),DK1 2045 (2014 WY),DK1 2025 (2012 WY),DK1 2035 (2012 WY),DK1 2045 (2012 WY),DK1 2025 (1985 WY),DK1 2045 (1985 WY),DK1 2045 (1985 WY)
09/01/2014 15.00,S01.T088,S004.T16,31.845,22.656,13.724,25.06,17.292,16.133,103.015,154.646,78.427
09/01/2014 16.00,S01.T089,S004.T17,30.137,23.513,13.724,25.209,17.292,16.133,117.257,168.739,182.606
09/01/2014 17.00,S01.T090,S004.T18,29.127,23.255,13.724,25.229,17.292,16.133,116.844,168.739,182.606
09/01/2014 18.00,S01.T091,S004.T19,27.495,22.891,13.724,25.209,17.292,16.133,112.855,165.02,182.606
09/01/2014 19.00,S01.T092,S004.T20,26.506,22.891,13.724,24.344,17.292,16.133,103.794,165.02,182.606
09/01/2014 20.00,S01.T093,S004.T21,25.518,22.891,13.724,23.556,17.292,16.133,100.134,165.02,182.606
09/01/2014 21.00,S01.T094,S004.T22,25.518,22.891,13.724,23.556,17.292,16.133,99.033,165.02,182.606
09/01/2014 22.00,S01.T095,S004.T23,25.518,22.891,13.724,23.556,17.292,16.133,96.155,165.02,182.606
09/01/2014 23.00,S01.T096,S004.T24,25.518,22.891,13.724,23.556,17.292,16.133,96.155,165.02,182.606
10/01/2014 00.00,S01.T097,S005.T01,24.242,18.983,5.506,23.553,14.145,5.27,96.284,149.481,141.661
10/01/2014 01.00,S01.T098,S005.T02,24.242,18.983,5.506,23.553,14.145,5.27,96.284,149.481,141.661
10/01/2014 02.00,S01.T099,S005.T03,24.242,18.983,5.506,23.553,14.145,5.27,96.284,149.481,141.661
10/01/2014 03.00,S01.T100,S005.T04,24.242,18.983,5.506,23.553,14.145,5.27,96.284,149.481,141.661
10/01/2014 04.00,S01.T101,S005.T05,24.242,18.983,5.506,23.553,14.145,5.27,97.821,149.481,141.767
10/01/2014 05.00,S01.T102,S005.T06,25.283,18.983,5.506,23.836,14.145,5.27,100.869,149.481,141.767
10/01/2014 06.00,S01.T103,S005.T07,26.863,18.861,5.373,24.947,14.881,5.005,106.744,149.481,135.271
10/01/2014 07.00,S01.T104,S005.T08,29.236,18.957,4.385,32.977,15.44,4.859,108.725,147.815,76.045
10/01/2014 08.00,S01.T105,S005.T09,40.744,18.26,4.386,28.305,15.457,4.64,107.868,109.522,76.045
10/01/2014 09.00,S01.T106,S005.T10,26.949,13.093,3.7,26.83,13.428,3.694,99.104,69.059,70.772
10/01/2014 10.00,S01.T107,S005.T11,25.652,12.935,3.7,32.934,13.544,3.415,75.923,66.981,67.452
10/01/2014 11.00,S01.T108,S005.T12,25.283,12.935,3.7,31.71,12.479,3.408,69.59,66.981,66.495
10/01/2014 12.00,S01.T109,S005.T13,25.283,12.935,3.7,29.51,12.479,3.408,69.59,66.981,66.495
10/01/2014 13.00,S01.T110,S005.T14,25.283,13.036,5.166,25.067,12.479,3.426,76.534,66.981,69.298
10/01/2014 14.00,S01.T111,S005.T15,25.686,15.365,5.286,25.056,12.479,3.78,97.611,69.844,72.594
10/01/2014 15.00,S01.T112,S005.T16,26.22,19.509,5.506,25.545,14.145,5.27,102.151,148.079,83.515
10/01/2014 16.00,S01.T113,S005.T17,28.147,19.677,5.506,24.947,14.346,5.27,110.733,149.31,141.661
10/01/2014 17.00,S01.T114,S005.T18,28.147,19.834,5.506,25.268,14.645,5.27,109.328,148.083,141.661
10/01/2014 18.00,S01.T115,S005.T19,27.581,19.628,5.506,24.947,14.513,5.27,101.695,148.079,141.661
10/01/2014 19.00,S01.T116,S005.T20,26.177,19.587,5.506,24.385,14.145,5.27,98.199,148.079,141.661
10/01/2014 20.00,S01.T117,S005.T21,25.511,19.509,5.506,25.083,14.145,5.27,96.284,148.079,141.661
10/01/2014 21.00,S01.T118,S005.T22,25.283,19.508,5.506,24.042,14.145,5.27,96.284,148.079,141.661
10/01/2014 22.00,S01.T119,S005.T23,24.789,19.202,5.506,23.553,14.145,5.27,96.284,148.079,141.661
10/01/2014 23.00,S01.T120,S005.T24,24.535,18.983,5.506,23.553,14.145,5.27,96.284,148.079,141.661
11/01/2014 00.00,S01.T121,S006.T01,24.23,28.003,15.04,23.036,23.102,9.503,45.873,63.66,74.849
11/01/2014 01.00,S01.T122,S006.T02,24.23,28.003,15.04,23.036,23.102,9.503,44.787,63.48,74.849
11/01/2014 02.00,S01.T123,S006.T03,24.23,28.003,15.04,23.144,23.102,9.503,43.786,63.48,74.849
11/01/2014 03.00,S01.T124,S006.T04,24.23,28.003,15.04,23.144,23.102,9.503,43.451,63.48,74.849
11/01/2014 04.00,S01.T125,S006.T05,24.23,28.003,15.04,23.144,23.102,9.503,43.451,63.48,74.849
11/01/2014 05.00,S01.T126,S006.T06,24.23,28.003,15.04,23.144,23.131,9.503,43.451,63.48,74.849
11/01/2014 06.00,S01.T127,S006.T07,24.23,28.003,15.04,23.235,23.811,9.503,43.451,63.48,74.849
11/01/2014 07.00,S01.T128,S006.T08,25.415,27.978,15.04,24.616,24.124,9.503,43.451,63.141,74.849
11/01/2014 08.00,S01.T129,S006.T09,25.572,26.768,14.61,24.996,24.671,9.393,43.451,62.158,74.594
11/01/2014 09.00,S01.T130,S006.T10,27.449,24.802,13.215,23.228,22.568,8,41.502,58.603,72.683
11/01/2014 10.00,S01.T131,S006.T11,25.043,24.802,13.215,21.703,11.767,6.808,41.698,58.603,71.97
11/01/2014 11.00,S01.T132,S006.T12,25.043,24.802,13.215,21.445,10.623,6.808,41.877,59.157,71.97
11/01/2014 12.00,S01.T133,S006.T13,25.064,24.802,13.215,21.445,10.623,6.808,42.592,59.176,72.162
11/01/2014 13.00,S01.T134,S006.T14,25.064,24.802,13.215,21.445,10.623,8.71,43.299,60.66,74.103
11/01/2014 14.00,S01.T135,S006.T15,25.064,26.523,14.541,23.144,23.533,9.503,44.391,62.144,74.739
11/01/2014 15.00,S01.T136,S006.T16,24.77,28.003,15.04,23.235,23.811,9.503,44.926,63.48,74.849
11/01/2014 16.00,S01.T137,S006.T17,25.152,28.003,15.04,24.696,25.21,9.503,43.621,63.48,74.849
11/01/2014 17.00,S01.T138,S006.T18,25.182,28.003,15.04,27.411,25.21,9.503,43.451,63.48,74.849
11/01/2014 18.00,S01.T139,S006.T19,25.043,28.003,15.04,27.411,24.719,9.503,43.536,63.48,74.849
11/01/2014 19.00,S01.T140,S006.T20,25.057,28.003,15.04,27.411,24.413,9.503,43.595,63.825,74.849
11/01/2014 20.00,S01.T141,S006.T21,25.097,28.003,15.04,26.979,24.413,9.503,43.684,63.48,74.849
11/01/2014 21.00,S01.T142,S006.T22,25.036,28.003,15.04,26.979,24.328,9.503,44.926,63.48,74.849
11/01/2014 22.00,S01.T143,S006.T23,27.712,28.509,15.04,24.301,23.811,9.503,44.926,63.48,74.849
11/01/2014 23.00,S01.T144,S006.T24,26.508,28.509,15.04,23.308,23.811,9.503,44.926,63.48,74.849
12/01/2014 00.00,S01.T145,S007.T01,26.242,27.642,14.175,26.44,37.017,17.933,42.874,62.422,74.481
12/01/2014 01.00,S01.T146,S007.T02,26.242,27.642,14.175,26.44,37.017,17.933,42.024,61.572,74.481
12/01/2014 02.00,S01.T147,S007.T03,26.242,27.642,14.175,26.44,37.017,17.933,40.593,61.572,74.481
12/01/2014 03.00,S01.T148,S007.T04,26.242,27.642,14.175,26.44,37.017,17.933,39.919,61.572,74.481
12/01/2014 04.00,S01.T149,S007.T05,26.242,27.642,14.175,26.44,37.017,17.933,39.765,61.572,74.481
12/01/2014 05.00,S01.T150,S007.T06,26.26,27.642,14.175,26.44,37.017,17.933,39.285,61.572,74.481
12/01/2014 06.00,S01.T151,S007.T07,26.328,27.642,14.175,26.44,37.017,17.933,39.919,61.572,74.481
12/01/2014 07.00,S01.T152,S007.T08,26.242,27.642,14.175,26.452,37.017,17.933,40.802,61.572,74.481
12/01/2014 08.00,S01.T153,S007.T09,25.507,25.084,13.469,26.508,34.071,17.303,40.554,61.056,73.95
12/01/2014 09.00,S01.T154,S007.T10,24.169,13.954,11.593,25.999,27.934,14.946,39.588,57.908,71.433
12/01/2014 10.00,S01.T155,S007.T11,24.108,12.935,11.371,26.44,27.934,14.946,35.427,53.692,71.433
12/01/2014 11.00,S01.T156,S007.T12,24.144,12.935,11.371,25.661,27.934,14.946,35.58,53.692,71.433
12/01/2014 12.00,S01.T157,S007.T13,24.144,12.935,11.371,25.661,28.219,14.946,35.585,54.043,71.785
12/01/2014 13.00,S01.T158,S007.T14,24.169,13.031,11.465,25.661,29.77,15.765,38.648,60.178,72.755
12/01/2014 14.00,S01.T159,S007.T15,25.507,16.398,13.396,26.376,32.586,17.444,40.098,61.572,74.188
12/01/2014 15.00,S01.T160,S007.T16,28.243,27.317,14.175,27.87,37.017,17.933,40.986,63.887,74.481
12/01/2014 16.00,S01.T161,S007.T17,31.588,27.92,14.175,33.721,37.017,17.933,43.265,63.887,74.481
12/01/2014 17.00,S01.T162,S007.T18,32.957,29.05,14.175,33.882,38.106,17.933,42.187,63.887,74.481
12/01/2014 18.00,S01.T163,S007.T19,34.29,31.555,14.175,35.568,39.12,17.933,40.231,63.887,74.481
12/01/2014 19.00,S01.T164,S007.T20,34.29,32.09,14.175,36.014,47.991,17.933,39.919,63.098,74.481
12/01/2014 20.00,S01.T165,S007.T21,34.653,32.05,14.175,36.334,49.679,17.933,39.919,62.422,74.481
12/01/2014 21.00,S01.T166,S007.T22,34.653,30.114,14.175,36.747,49.901,17.933,39.06,61.572,74.481
12/01/2014 22.00,S01.T167,S007.T23,34.29,29.92,14.175,36.902,50.225,17.933,38.67,61.572,74.481
12/01/2014 23.00,S01.T168,S007.T24,34.29,29.735,14.175,36.947,50.225,17.933,38.67,61.572,74.481
13/01/2014 00.00,S02.T001,S008.T01,33.421,49.598,48.915,35.677,45.69,43.261,34.447,57.746,65.57
13/01/2014 01.00,S02.T002,S008.T02,33.211,49.598,48.915,36.277,45.69,43.261,34.447,57.746,65.57
13/01/2014 02.00,S02.T003,S008.T03,33.211,49.598,48.915,36.277,45.69,43.261,34.447,57.746,65.57
13/01/2014 03.00,S02.T004,S008.T04,33.211,49.598,48.915,36.277,45.695,43.261,34.447,57.746,65.57
13/01/2014 04.00,S02.T005,S008.T05,33.211,49.598,48.915,37.286,45.695,43.513,34.447,57.746,65.57
13/01/2014 05.00,S02.T006,S008.T06,33.421,49.742,48.915,42.924,47.567,43.724,34.982,57.746,65.57
13/01/2014 06.00,S02.T007,S008.T07,33.887,47.824,47.867,58.071,48.139,44.477,40.589,58.147,65.302
13/01/2014 07.00,S02.T008,S008.T08,36.014,48.596,47.54,51.818,54.093,44.236,43.551,58.558,65.519
13/01/2014 08.00,S02.T009,S008.T09,36.096,48.444,47.516,47.587,46.823,43.724,43.654,58.434,65.41
13/01/2014 09.00,S02.T010,S008.T10,34.109,47.67,46.137,38.427,45.695,42.929,36.987,57.19,64.97
13/01/2014 10.00,S02.T011,S008.T11,33.424,47.67,45.939,37.154,45.477,42.098,34.355,55.065,62.511
13/01/2014 11.00,S02.T012,S008.T12,33.36,47.691,46.202,35.397,44.452,40.523,34.292,55.065,62.511
13/01/2014 12.00,S02.T013,S008.T13,33.36,47.691,46.239,34.769,44.342,40.523,34.292,56.358,62.813
13/01/2014 13.00,S02.T014,S008.T14,34.695,48.568,47.323,34.769,44.342,40.523,34.992,56.897,65.322
13/01/2014 14.00,S02.T015,S008.T15,35.846,49.06,47.896,35.313,44.342,40.523,35.572,57.867,65.41
13/01/2014 15.00,S02.T016,S008.T16,37.761,49.54,48.915,34.817,44.171,42.644,36.538,57.967,65.57
13/01/2014 16.00,S02.T017,S008.T17,39.687,50.164,48.915,34.817,44.171,43.261,38.541,57.967,65.57
13/01/2014 17.00,S02.T018,S008.T18,37.821,50.696,48.915,34.769,44.171,43.261,37.069,57.967,65.57
13/01/2014 18.00,S02.T019,S008.T19,36.717,50,48.915,34.769,44.171,43.261,35.636,57.967,65.57
13/01/2014 19.00,S02.T020,S008.T20,36.057,49.598,48.915,34.494,44.171,43.261,35.544,57.967,65.57
13/01/2014 20.00,S02.T021,S008.T21,35.375,49.598,48.915,34.494,44.171,43.261,35.544,57.967,65.57
13/01/2014 21.00,S02.T022,S008.T22,35.258,49.598,48.915,34.494,44.171,43.261,35.128,57.967,65.57
13/01/2014 22.00,S02.T023,S008.T23,35.145,49.598,48.915,34.494,44.171,43.261,35.612,57.967,65.57
13/01/2014 23.00,S02.T024,S008.T24,34.719,49.762,48.915,34.494,44.171,43.261,35.235,58.181,65.57
14/01/2014 00.00,S02.T025,S009.T01,58.623,52.871,52.707,32.058,43.607,15.414,42.762,61.536,57.656
14/01/2014 01.00,S02.T026,S009.T02,58.623,52.871,52.707,31.971,41.817,15.414,42.762,61.536,57.656
14/01/2014 02.00,S02.T027,S009.T03,58.623,52.871,52.707,31.971,41.027,15.414,42.762,61.536,57.656
14/01/2014 03.00,S02.T028,S009.T04,58.885,52.871,52.707,32.372,43.838,15.414,42.762,61.604,57.656
14/01/2014 04.00,S02.T029,S009.T05,58.885,52.871,52.707,32.372,44.207,15.414,42.762,61.604,57.656
14/01/2014 05.00,S02.T030,S009.T06,72.198,52.871,52.707,34.457,44.626,15.531,42.762,61.796,57.656
14/01/2014 06.00,S02.T031,S009.T07,74.98,51.083,45.084,35.96,45.465,15.414,44.218,61.4,56.465
14/01/2014 07.00,S02.T032,S009.T08,75.69,57.926,48.633,44.594,49.597,16.325,45.132,61.4,56.465
14/01/2014 08.00,S02.T033,S009.T09,74.98,52.28,48.633,45.873,46.23,15.902,44.933,61.169,55.942
14/01/2014 09.00,S02.T034,S009.T10,74.98,51.726,48.633,41.56,44.448,15.113,43.501,55.271,53.267
14/01/2014 10.00,S02.T035,S009.T11,80.011,51.726,49.282,43.081,42.63,14.504,41.253,52.977,53.267
14/01/2014 11.00,S02.T036,S009.T12,77.061,52.871,50.439,35.077,28.737,13.202,40.025,52.977,53.267
14/01/2014 12.00,S02.T037,S009.T13,78.861,52.871,51.463,25.189,23.204,13.202,40.025,52.977,53.685
14/01/2014 13.00,S02.T038,S009.T14,78.971,52.871,52.707,24.155,22.499,13.296,40.234,52.977,54.364
14/01/2014 14.00,S02.T039,S009.T15,76.98,52.871,52.707,31.735,22.499,13.296,41.698,56.454,55.717
14/01/2014 15.00,S02.T040,S009.T16,77.413,57.679,52.707,32.787,22.499,15.188,42.345,60.478,56.349
14/01/2014 16.00,S02.T041,S009.T17,77.406,63.993,52.707,29.532,23.373,15.414,42.357,61.24,57.656
14/01/2014 17.00,S02.T042,S009.T18,76.497,53.609,52.707,29.532,23.373,15.414,42.855,61.24,57.656
14/01/2014 18.00,S02.T043,S009.T19,74.882,52.871,52.707,24.155,23.373,15.414,42.476,61.24,57.656
14/01/2014 19.00,S02.T044,S009.T20,59.92,52.871,52.707,20.545,23.373,15.414,41.968,61.24,57.656
14/01/2014 20.00,S02.T045,S009.T21,58.623,52.871,52.707,20.461,23.373,15.414,41.784,61.24,57.656
14/01/2014 21.00,S02.T046,S009.T22,58.623,52.871,52.707,20.461,23.373,15.414,41.698,61.24,57.656
14/01/2014 22.00,S02.T047,S009.T23,58.623,52.871,52.707,20.461,23.373,15.414,41.345,61.24,57.656
14/01/2014 23.00,S02.T048,S009.T24,58.623,52.871,52.707,20.461,23.373,15.414,41.345,61.24,57.656
15/01/2014 00.00,S02.T049,S010.T01,34.915,45.799,45.367,22.603,14.642,4.581,41.278,62.579,63.108
15/01/2014 01.00,S02.T050,S010.T02,34.536,45.799,45.367,22.603,14.642,4.581,41.278,62.579,63.108
15/01/2014 02.00,S02.T051,S010.T03,34.536,45.799,45.367,22.603,14.642,4.581,41.278,62.579,63.108
15/01/2014 03.00,S02.T052,S010.T04,34.536,45.626,45.367,22.603,14.642,4.581,41.278,62.579,63.108
15/01/2014 04.00,S02.T053,S010.T05,34.915,45.799,45.367,22.603,14.642,4.581,41.278,62.579,63.108
15/01/2014 05.00,S02.T054,S010.T06,35.728,47.471,45.367,23.152,14.642,4.581,41.374,62.785,63.108
15/01/2014 06.00,S02.T055,S010.T07,45.366,47.667,45.367,24.475,15.305,4.202,42.535,62.031,61.97
15/01/2014 07.00,S02.T056,S010.T08,46.348,50.603,45.95,24.121,17.125,4.236,43.317,63.556,61.951
15/01/2014 08.00,S02.T057,S010.T09,45.366,48.032,45.442,23.608,17.311,4.276,42.874,62.29,61.525
15/01/2014 09.00,S02.T058,S010.T10,35.71,46.305,44.627,23.118,15.192,3.67,38.502,58.175,58.823
15/01/2014 10.00,S02.T059,S010.T11,35.87,46.493,43.613,22.82,15.123,3.654,31.844,56.711,58.475
15/01/2014 11.00,S02.T060,S010.T12,34.837,45.686,43.613,22.441,14.451,3.623,33.962,58.123,58.475
15/01/2014 12.00,S02.T061,S010.T13,34.691,45.686,43.613,22.314,13.72,3.623,39.989,59.109,60.182
15/01/2014 13.00,S02.T062,S010.T14,34.691,45.832,43.866,22.603,13.72,3.623,42.737,61.012,61.002
