time,2012 Denmark_HH80_SP400
19/01/2012 05.00,0.7014
19/01/2012 06.00,0.7269
19/01/2012 07.00,0.7431
19/01/2012 08.00,0.7749
19/01/2012 09.00,0.8217
19/01/2012 10.00,0.8631
19/01/2012 11.00,0.8476
19/01/2012 12.00,0.8483
19/01/2012 13.00,0.6585
19/01/2012 14.00,0.562
19/01/2012 15.00,0.5109
19/01/2012 16.00,0.4926
19/01/2012 17.00,0.664
19/01/2012 18.00,0.8966
19/01/2012 19.00,0.9467
19/01/2012 20.00,0.9454
19/01/2012 21.00,0.945
19/01/2012 22.00,0.9401
19/01/2012 23.00,0.9307
20/01/2012 00.00,0.6869
20/01/2012 01.00,0.5577
20/01/2012 02.00,0.4719
20/01/2012 03.00,0.4358
20/01/2012 04.00,0.4215
20/01/2012 05.00,0.3649
20/01/2012 06.00,0.2894
20/01/2012 07.00,0.2389
20/01/2012 08.00,0.247
20/01/2012 09.00,0.2452
20/01/2012 10.00,0.1602
20/01/2012 11.00,0.1212
20/01/2012 12.00,0.08
20/01/2012 13.00,0.06
20/01/2012 14.00,0.0433
20/01/2012 15.00,0.0136
20/01/2012 16.00,0.0069
20/01/2012 17.00,0.0019
20/01/2012 18.00,0
20/01/2012 19.00,0
20/01/2012 20.00,0.0031
20/01/2012 21.00,0.0205
20/01/2012 22.00,0.0042
20/01/2012 23.00,0.0002
21/01/2012 00.00,0
21/01/2012 01.00,0
21/01/2012 02.00,0.0015
21/01/2012 03.00,0.03
21/01/2012 04.00,0.0618
21/01/2012 05.00,0.1303
21/01/2012 06.00,0.2407
21/01/2012 07.00,0.2952
21/01/2012 08.00,0.419
21/01/2012 09.00,0.7047
21/01/2012 10.00,0.7555
21/01/2012 11.00,0.86
21/01/2012 12.00,0.8799
21/01/2012 13.00,0.5864
21/01/2012 14.00,0.455
21/01/2012 15.00,0.5522
21/01/2012 16.00,0.5041
21/01/2012 17.00,0.4594
21/01/2012 18.00,0.3935
21/01/2012 19.00,0.3345
21/01/2012 20.00,0.3107
21/01/2012 21.00,0.2779
21/01/2012 22.00,0.2309
21/01/2012 23.00,0.1671
22/01/2012 00.00,0.2399
22/01/2012 01.00,0.1336
22/01/2012 02.00,0.104
22/01/2012 03.00,0.0794
22/01/2012 04.00,0.0716
22/01/2012 05.00,0.0645
22/01/2012 06.00,0.0608
22/01/2012 07.00,0.0944
22/01/2012 08.00,0.1269
22/01/2012 09.00,0.1036
22/01/2012 10.00,0.0283
22/01/2012 11.00,0.0077
22/01/2012 12.00,0.0008
22/01/2012 13.00,0.0071
22/01/2012 14.00,0.0099
22/01/2012 15.00,0.0348
22/01/2012 16.00,0.0787
22/01/2012 17.00,0.1063
22/01/2012 18.00,0.0976
22/01/2012 19.00,0.0985
22/01/2012 20.00,0.0965
22/01/2012 21.00,0.1023
22/01/2012 22.00,0.0626
22/01/2012 23.00,0.0693
23/01/2012 00.00,0.0503
23/01/2012 01.00,0.046
23/01/2012 02.00,0.0332
23/01/2012 03.00,0.0302
