Timestep,2025 - base case,2030 - base case,2035 - base case,2040 - base case,2050 - base case,2025 - re delay,2030 - re delay,2035 - re delay,2040 - re delay,2050 -re delay,2025 - ptx delay,2030 - ptx delays,2035 - ptx delay,2040 - ptx delay,2050 - ptx delay
S24-T073,68.41534527,76.82086546,66.972065,59.60526642,53.37636097,123.2765836,107.5972249,105.9885545,101.5187628,115.1564086,65.31476136,7.340222126,19.83937633,27.42487947,18.51613553
S24-T074,68.3467427,74.26057951,66.90490571,58.14321692,53.16242779,117.3974459,107.5135169,105.0756602,100.4697189,114.4997938,65.24925937,5.311790142,19.77935658,27.39726737,18.46011013
S24-T075,21.35117996,74.03745936,65.00232027,57.96841646,52.38574578,106.190094,104.4327525,104.9703973,100.1124513,113.927515,19.62737711,5.284771548,19.67972313,27.02439469,18.0563511
S24-T076,17.10159308,63.91930503,62.65827906,57.91026082,51.84274265,99.60084597,104.4327525,104.8618436,100.1124513,113.3897663,15.35056432,5.27250519,17.56117016,26.64498753,17.9835054
S24-T077,12.80864934,44.03294798,62.65827906,57.86974048,51.84273299,99.60084597,104.4327525,104.7567945,100.1124513,113.2235472,11.54597525,5.267045457,19.67972313,26.67184661,17.96533466
S24-T078,21.31039538,44.03008561,64.87203295,57.96841646,51.84274265,105.9362034,104.4327525,104.8618436,100.1124513,113.3897663,19.59003842,5.261591185,19.69960997,26.72564544,17.96533466
S24-T079,21.3133421,43.98872781,64.93715734,57.98602882,51.84274265,106.190094,104.4327525,104.8618436,100.2128514,113.5034569,19.5923114,5.261591185,19.69960997,27.36968287,17.9471821
S24-T080,21.3304144,43.94303251,64.80694713,57.92785556,50.62195759,106.190094,104.4327525,104.7601872,100.2128514,111.8816971,19.60766094,5.267045457,17.00884906,26.67184661,17.92904769
S24-T081,21.3133421,5.88200065,49.09187124,55.87265014,48.70159927,106.0837167,100.5523388,73.78366278,97.6921556,108.4878804,19.5923114,3.245889901,3.257484707,14.28006661,10.83603518
S24-T082,13.94660492,3.230291088,3.144129845,3.080800126,3.071005846,99.49616254,4.19725537,3.230291088,3.242456784,3.2390271,12.18892253,3.077532099,3.077532099,3.077532099,2.94320844
S24-T083,9.755182085,3.097367407,3.080800126,3.077532099,2.815151919,90.64235714,3.491359635,3.230291088,3.080800126,3.071005846,9.73530721,3.077532099,3.077532099,3.071005846,2.542783174
S24-T084,9.496415899,3.097367407,3.077532099,2.946342009,2.263968928,23.16486075,3.48400614,3.230291088,3.07426734,2.815151919,9.021088764,3.077532099,3.071005846,2.94320844,2.17205333
S24-T085,4.197219726,3.230291088,3.07426734,2.946342009,2.263968928,9.775096771,3.491359635,3.097367407,3.07426734,2.815151919,4.192870888,3.077532099,3.057992451,2.930705468,2.17205333
S24-T086,4.197219726,3.230291088,3.071005846,2.946342009,2.263968928,9.515812275,4.18849079,3.097367407,3.07426734,2.815151919,4.192870888,3.07426734,2.946342009,2.930705468,2.17205333
