Forecast,Realised,OnshoreWindLt50kW_MWh,OnshoreWindGe50kW_MWh
604.166687,729.912381,5.615912,724.296469
498.375,654.291123,4.239078,650.052045
432.708344,656.767609,4.373874,652.393735
398.166656,726.474853,5.071713,721.40314
416.25,724.218104,3.86333,720.354774
426.5,684.364291,3.206459,681.157832
468.083344,695.440322,3.498378,691.941944
472.375,728.935521,3.5743,725.361221
410.166656,657.50708,2.992485,654.514595
439.125,651.369636,2.503681,648.865955
471.833344,615.719097,2.123394,613.595703
532,579.242276,2.2739,576.968376
581.583313,535.050236,2.166944,532.883292
607.666687,536.09767,2.508335,533.589335
558.125,547.471571,1.99708,545.474491
564.791687,540.6496,1.849924,538.799676
558.666687,545.036781,1.937871,543.09891
555.166687,545.45483,1.400691,544.054139
544.458313,660.02996,1.83953,658.19043
541.916687,672.347916,1.904758,670.443158
536.458313,844.397515,1.930567,842.466948
535.125,865.004081,2.70383,862.300251
619.291687,835.359714,2.72014,832.639574
659.541687,864.351098,3.56757,860.783528
643.791687,798.586855,3.073412,795.513443
714.791687,919.752169,4.345534,915.406635
687.25,962.701626,6.155646,956.54598
712.416687,957.749119,5.881561,951.867558
752.708313,1027.992667,6.071224,1021.921443
807.666687,1027.86618,5.293425,1022.572755
973.291687,1149.539418,5.389463,1144.149955
1207.708374,1523.093287,7.553456,1515.539831
1430.416626,1891.087537,12.360998,1878.726539
1775,2282.474974,16.130936,2266.344038
2088.125,2627.69649,16.682514,2611.013976
2408.583252,2942.352737,19.013951,2923.338786
2595.791748,3196.901553,22.937066,3173.964487
2648.208252,3408.038659,25.936013,3382.102646
2755.041748,3434.339739,28.34306,3405.996679
2685.541748,3436.394969,26.99792,3409.397049
2670.916748,3263.384694,16.68252,3246.702174
2717.833252,3267.096492,16.589756,3250.506736
2722.125,3194.299218,17.331549,3176.967669
2571.625,3091.644776,22.756391,3068.888385
2145.375,2801.678385,19.947035,2781.73135
1699.916626,2529.741832,18.939157,2510.802675
1586.958374,2250.485268,17.100867,2233.384401
1415.25,1886.306843,15.749533,1870.55731
1294.541626,1796.702246,13.366356,1783.33589
1342.458374,1764.828936,14.175235,1750.653701
1381.75,1959.921538,14.065548,1945.85599
1419.875,2107.154945,15.072686,2092.082259
1454.083374,2149.858301,15.636803,2134.221498
1474.208374,2172.762636,15.254922,2157.507714
1541.791626,2117.146414,15.304459,2101.841955
1589.708374,2094.647532,14.406161,2080.241371
1492.541626,2153.923897,15.603581,2138.320316
1507.458374,2301.215844,16.198034,2285.01781
1581.208374,2245.999955,14.985474,2231.014481
1622.166626,2163.292954,13.23159,2150.061364
1637.625,2212.485952,11.330408,2201.155544
1735.666626,2219.61448,11.794684,2207.819796
1809.625,2046.536928,10.961813,2035.575115
1695.708374,1812.163679,8.006817,1804.156862
1604.333374,1723.005987,6.92902,1716.076967
1571.333374,1639.42335,6.51443,1632.90892
1601.041626,1356.863854,5.933274,1350.93058
1586.583374,1241.625351,4.577899,1237.047452
1405.125,1181.323578,4.926399,1176.397179
1279.958374,1118.279526,5.017339,1113.262187
1476.583374,1029.357827,4.529197,1024.82863
1559,973.741922,5.452996,968.288926
1416.458374,847.17646,6.375377,840.801083
1361.708374,688.092844,5.339752,682.753092
1159.75,520.656346,4.903416,515.75293
999.041687,495.605151,4.800096,490.805055
861.791687,534.110137,5.062798,529.047339
739.125,713.652059,5.39304,708.259019
744.458313,1016.395954,5.100243,1011.295711
781.458313,1056.237862,5.564598,1050.673264
773.833313,981.909973,6.424121,975.485852
944.625,956.303524,4.173259,952.130265
1337.833374,1205.568739,6.118823,1199.449916
1765.041626,1513.715069,10.153882,1503.561187
2031.833374,1860.593019,10.747232,1849.845787
2139.708252,2006.008577,11.322525,1994.686052
2264.333252,2148.288937,13.41761,2134.871327
2218.75,2139.957496,10.698745,2129.258751
2145.083252,2133.599196,13.464845,2120.134351
2168.083252,2085.406574,12.326316,2073.080258
2222.708252,2064.792292,10.335179,2054.457113
2271.291748,2092.223019,11.579129,2080.64389
2101.916748,2203.595702,12.850941,2190.744761
1948.625,2257.520146,13.204905,2244.315241
2267.375,2370.605873,14.365314,2356.240559
2499.333252,2569.150559,15.739423,2553.411136
2486,2682.849083,16.712338,2666.136745
2576.208252,2794.004648,17.370013,2776.634635
2437.208252,2801.850788,16.657255,2785.193533
