P_SM_t_opt_beta0,P_PPA_t_opt_beta0
10.4328,3.78
31.19636,3.78
12.436199999999998,3.78
13.67226,3.78
34.92344,3.78
11.370239999999999,3.78
27.90776,3.78
5.779620000000001,3.78
26.4071,3.78
5.719140000000001,3.78
24.7439,3.78
2.79342,3.78
0.9752399999999999,3.78
19.682479999999998,3.78
-1.000000082740371e-09,3.78
19.262900000000002,3.78
12.51338000100001,3.78
31.91078,3.78
35.14646,3.78
27.7997,3.78
34.09562,3.78
12.447539999999998,3.78
14.1183,3.78
38.831959999999995,3.78
30.604560000000014,3.78
13.029659999999998,3.78
8.75448,3.78
29.261,3.78
29.563399999999998,3.78
9.85446,3.78
9.737279999999998,3.78
28.52012,3.78
31.389139999999998,3.78
13.4001,3.78
26.452460000000002,3.78
5.382720000000001,3.78
7.903979999999999,3.78
27.56756,3.78
28.346239999999998,3.78
10.76166,3.78
31.78982,3.78
18.82442,3.78
5.355720000000015,3.78
22.079,3.78
3.7195199999999997,3.78
24.52088,3.78
4.286519999999999,3.78
25.96484,3.78
6.025320000000001,3.78
28.00226,3.78
29.771299999999997,3.78
12.409740000000001,3.78
34.364,3.78
15.324119999999999,3.78
11.86164,3.78
28.966160000000002,3.78
27.23492,3.78
6.05556,3.78
8.478539999999999,3.78
26.39576,3.78
3.5532,3.78
25.3109,3.78
25.20128,3.78
4.747679999999999,3.78
24.81194,3.78
39.92059999999999,3.78
